,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit
2572,0,36,existing credits paid back duly till now,furniture/equipment,4463,unknown/no savings account,2,0,male : married/widowed,none,2,building soc. savings agr./life insurance,41,none,rent,3-Feb,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,1
2573,0,36,existing credits paid back duly till now,furniture/equipment,4463,... >= 1000 DM,2,0,male : married/widowed,none,2,building soc. savings agr./life insurance,26,stores,rent,3-Feb,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
2574,0,6,all credits at this bank paid back duly,repairs,12204,... <  100 DM,2,3,female : non-single or male : single,none,2,car or other,27,none,rent,3-Feb,skilled employee/official,3 or more,no,no,0
2575,1,6,all credits at this bank paid back duly,furniture/equipment,1237,... <  100 DM,2,1,female : non-single or male : single,co-applicant,3,real estate,27,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,0
2576,0,60,all credits at this bank paid back duly,repairs,12204,... <  100 DM,2,3,female : non-single or male : single,none,2,car or other,27,none,rent,3-Feb,skilled employee/official,3 or more,no,no,0
2577,1,24,critical account/other credits elsewhere,car (used),4020,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,27,stores,own,1,skilled employee/official,0 to 2,no,no,0
2578,1,24,critical account/other credits elsewhere,car (used),4020,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,27,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2579,1,24,critical account/other credits elsewhere,car (used),4020,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,30,stores,rent,1,skilled employee/official,0 to 2,no,no,0
2580,1,18,no credits taken/all credits paid back duly,furniture/equipment,1936,... >= 1000 DM,0,0,female : single,none,0,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,0
2581,1,18,no credits taken/all credits paid back duly,furniture/equipment,1936,... <  100 DM,0,2,female : single,none,0,building soc. savings agr./life insurance,23,bank,for free,3-Feb,unskilled - resident,0 to 2,no,no,0
2582,1,18,no credits taken/all credits paid back duly,furniture/equipment,1203,unknown/no savings account,3,2,female : single,none,0,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,0
2583,2,6,critical account/other credits elsewhere,radio/television,1236,100 <= ... <  500 DM,1,2,male : married/widowed,none,0,car or other,50,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,0
2584,2,6,critical account/other credits elsewhere,car (new),1236,unknown/no savings account,1,2,male : divorced/separated,none,0,car or other,50,none,for free,1,skilled employee/official,0 to 2,no,no,0
2585,1,36,no credits taken/all credits paid back duly,repairs,1236,100 <= ... <  500 DM,0,2,male : married/widowed,none,0,car or other,50,none,for free,1,skilled employee/official,0 to 2,no,no,0
2586,2,47,no credits taken/all credits paid back duly,retraining,1037,... <  100 DM,2,1,male : married/widowed,none,0,real estate,32,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,0
2587,2,48,no credits taken/all credits paid back duly,retraining,1037,unknown/no savings account,1,1,male : married/widowed,none,0,unknown / no property,39,none,rent,1,unskilled - resident,0 to 2,no,no,0
2588,2,60,no credits taken/all credits paid back duly,retraining,1037,unknown/no savings account,3,1,male : married/widowed,none,0,unknown / no property,42,none,for free,1,unskilled - resident,0 to 2,no,no,0
2589,1,30,delay in paying off in the past,retraining,8072,unknown/no savings account,1,2,male : married/widowed,none,1,building soc. savings agr./life insurance,25,bank,for free,5-Apr,skilled employee/official,0 to 2,no,no,0
2590,1,30,delay in paying off in the past,retraining,8072,unknown/no savings account,1,2,male : married/widowed,none,1,building soc. savings agr./life insurance,25,bank,rent,5-Apr,skilled employee/official,0 to 2,yes (under customer name),no,0
2591,1,30,critical account/other credits elsewhere,retraining,8072,unknown/no savings account,1,2,male : married/widowed,none,1,building soc. savings agr./life insurance,25,bank,rent,5-Apr,skilled employee/official,0 to 2,no,no,0
2592,1,18,critical account/other credits elsewhere,furniture/equipment,2389,unknown/no savings account,1,0,female : non-single or male : single,none,3,real estate,27,stores,rent,1,skilled employee/official,0 to 2,no,no,0
2593,1,18,no credits taken/all credits paid back duly,repairs,2389,unknown/no savings account,1,0,female : non-single or male : single,none,3,real estate,27,stores,rent,1,skilled employee/official,0 to 2,no,no,0
2594,1,18,no credits taken/all credits paid back duly,others,2389,unknown/no savings account,1,0,female : non-single or male : single,none,3,car or other,27,stores,rent,1,skilled employee/official,0 to 2,no,no,0
2595,0,24,existing credits paid back duly till now,business,2538,unknown/no savings account,4,0,male : married/widowed,none,2,building soc. savings agr./life insurance,47,none,rent,3-Feb,unskilled - resident,3 or more,no,no,1
2596,0,26,existing credits paid back duly till now,others,2538,... <  100 DM,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,47,none,rent,3-Feb,unskilled - resident,3 or more,no,no,1
2597,0,24,no credits taken/all credits paid back duly,others,2538,unknown/no savings account,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,66,none,rent,3-Feb,unskilled - resident,3 or more,no,no,1
2598,1,12,all credits at this bank paid back duly,others,926,unknown/no savings account,0,3,female : non-single or male : single,none,2,car or other,38,bank,rent,1,manager/self-empl./highly qualif. employee,3 or more,no,no,0
2599,2,12,critical account/other credits elsewhere,others,926,unknown/no savings account,0,0,female : non-single or male : single,none,2,car or other,38,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,0
2600,1,12,critical account/other credits elsewhere,others,926,unknown/no savings account,0,3,female : single,none,2,car or other,38,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,0
2601,1,30,no credits taken/all credits paid back duly,furniture/equipment,7174,... >= 1000 DM,3,0,female : non-single or male : single,none,1,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),yes,1
2602,1,9,no credits taken/all credits paid back duly,furniture/equipment,7174,... >= 1000 DM,3,0,female : non-single or male : single,co-applicant,1,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
2603,3,42,no credits taken/all credits paid back duly,furniture/equipment,7174,... >= 1000 DM,3,0,male : married/widowed,none,1,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
2604,2,39,all credits at this bank paid back duly,furniture/equipment,4933,unknown/no savings account,2,2,male : married/widowed,guarantor,2,unknown / no property,43,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
2605,2,39,all credits at this bank paid back duly,furniture/equipment,4933,500 <= ... < 1000 DM,3,2,male : married/widowed,guarantor,2,unknown / no property,25,stores,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
2606,2,39,all credits at this bank paid back duly,furniture/equipment,1526,unknown/no savings account,3,2,male : married/widowed,guarantor,2,unknown / no property,39,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
2607,1,60,all credits at this bank paid back duly,furniture/equipment,1957,unknown/no savings account,3,3,female : non-single or male : single,none,0,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,0
2608,1,54,all credits at this bank paid back duly,furniture/equipment,1957,unknown/no savings account,3,3,female : non-single or male : single,none,0,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,0
2609,1,72,all credits at this bank paid back duly,furniture/equipment,1957,unknown/no savings account,3,3,female : non-single or male : single,none,0,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,0
2610,1,24,critical account/other credits elsewhere,domestic appliances,2670,unknown/no savings account,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,35,none,rent,>= 6,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2611,2,47,no credits taken/all credits paid back duly,retraining,2670,unknown/no savings account,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,35,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2612,2,60,no credits taken/all credits paid back duly,business,2670,unknown/no savings account,0,0,male : married/widowed,none,0,building soc. savings agr./life insurance,35,none,rent,5-Apr,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2613,1,21,no credits taken/all credits paid back duly,radio/television,8072,... >= 1000 DM,0,0,male : married/widowed,none,1,car or other,41,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2614,1,48,no credits taken/all credits paid back duly,furniture/equipment,7418,100 <= ... <  500 DM,1,0,male : married/widowed,guarantor,1,car or other,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2615,2,21,critical account/other credits elsewhere,furniture/equipment,1285,... >= 1000 DM,0,0,male : married/widowed,none,1,real estate,41,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2616,3,24,no credits taken/all credits paid back duly,others,1526,... <  100 DM,2,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,29,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2617,2,47,no credits taken/all credits paid back duly,furniture/equipment,1901,... <  100 DM,2,0,male : married/widowed,co-applicant,0,building soc. savings agr./life insurance,29,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2618,2,47,no credits taken/all credits paid back duly,furniture/equipment,7485,... <  100 DM,2,0,male : married/widowed,none,0,building soc. savings agr./life insurance,29,bank,for free,1,unskilled - resident,0 to 2,yes (under customer name),no,0
2619,2,60,no credits taken/all credits paid back duly,retraining,907,unknown/no savings account,1,1,female : single,none,2,unknown / no property,26,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2620,2,36,no credits taken/all credits paid back duly,retraining,907,unknown/no savings account,1,1,female : single,none,2,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,0
2621,2,48,no credits taken/all credits paid back duly,retraining,907,unknown/no savings account,1,1,female : single,none,2,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2622,0,24,no credits taken/all credits paid back duly,car (new),1207,unknown/no savings account,1,0,female : non-single or male : single,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,1
2623,0,24,no credits taken/all credits paid back duly,others,1207,unknown/no savings account,1,0,female : non-single or male : single,none,0,car or other,29,none,for free,1,skilled employee/official,0 to 2,no,no,1
2624,1,24,no credits taken/all credits paid back duly,others,6948,unknown/no savings account,1,3,female : non-single or male : single,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,1
2625,2,24,existing credits paid back duly till now,others,2032,unknown/no savings account,1,0,male : married/widowed,none,0,real estate,60,none,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2626,2,24,existing credits paid back duly till now,others,2032,unknown/no savings account,4,0,male : married/widowed,none,0,real estate,60,none,own,3-Feb,skilled employee/official,0 to 2,no,no,0
2627,3,36,existing credits paid back duly till now,others,2032,unknown/no savings account,4,0,male : married/widowed,none,0,real estate,60,none,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2628,2,54,no credits taken/all credits paid back duly,others,3518,unknown/no savings account,2,2,male : married/widowed,guarantor,3,car or other,26,none,for free,1,skilled employee/official,0 to 2,no,no,0
2629,2,47,no credits taken/all credits paid back duly,others,1374,unknown/no savings account,2,2,male : married/widowed,guarantor,1,car or other,26,none,for free,1,skilled employee/official,0 to 2,no,no,0
2630,2,72,existing credits paid back duly till now,others,3518,unknown/no savings account,2,2,male : married/widowed,guarantor,1,car or other,26,none,for free,1,skilled employee/official,0 to 2,no,no,0
2631,2,21,critical account/other credits elsewhere,others,3652,unknown/no savings account,3,2,male : married/widowed,none,1,car or other,27,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,0
2632,2,47,all credits at this bank paid back duly,retraining,3652,unknown/no savings account,3,2,male : married/widowed,none,1,car or other,25,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,0
2633,2,21,critical account/other credits elsewhere,retraining,701,unknown/no savings account,3,2,male : married/widowed,none,1,car or other,27,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,0
2634,3,48,all credits at this bank paid back duly,others,1480,100 <= ... <  500 DM,0,2,female : non-single or male : single,none,0,real estate,66,bank,own,5-Apr,unemployed/unskilled - non-resident,3 or more,no,no,0
2635,3,12,critical account/other credits elsewhere,others,1480,100 <= ... <  500 DM,0,0,male : married/widowed,none,0,real estate,66,bank,own,3-Feb,unemployed/unskilled - non-resident,0 to 2,no,no,0
2636,3,72,all credits at this bank paid back duly,others,1480,unknown/no savings account,0,2,male : married/widowed,none,0,real estate,38,bank,own,5-Apr,unemployed/unskilled - non-resident,0 to 2,no,no,0
2637,1,24,all credits at this bank paid back duly,domestic appliances,1199,unknown/no savings account,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,60,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
2638,0,24,all credits at this bank paid back duly,others,1199,unknown/no savings account,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,43,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,1
2639,1,24,all credits at this bank paid back duly,others,1199,unknown/no savings account,4,0,male : married/widowed,none,1,building soc. savings agr./life insurance,60,none,rent,3-Feb,unskilled - resident,0 to 2,yes (under customer name),no,1
2640,2,33,no credits taken/all credits paid back duly,furniture/equipment,368,... <  100 DM,0,0,male : married/widowed,none,0,car or other,38,none,rent,1,skilled employee/official,0 to 2,no,no,0
2641,2,33,no credits taken/all credits paid back duly,furniture/equipment,368,... <  100 DM,0,0,male : married/widowed,none,0,car or other,38,none,rent,1,skilled employee/official,0 to 2,no,no,0
2642,2,6,no credits taken/all credits paid back duly,car (new),368,... <  100 DM,0,0,female : single,none,0,car or other,38,none,rent,1,skilled employee/official,3 or more,no,no,0
2643,2,24,no credits taken/all credits paid back duly,furniture/equipment,9857,unknown/no savings account,4,0,female : non-single or male : single,none,0,real estate,20,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2644,2,24,no credits taken/all credits paid back duly,furniture/equipment,1967,unknown/no savings account,0,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,20,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2645,2,24,no credits taken/all credits paid back duly,others,1967,unknown/no savings account,4,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2646,1,24,no credits taken/all credits paid back duly,domestic appliances,6579,unknown/no savings account,4,0,male : married/widowed,none,2,real estate,29,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2647,1,24,no credits taken/all credits paid back duly,others,6579,unknown/no savings account,0,0,male : married/widowed,none,2,real estate,29,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2648,1,24,no credits taken/all credits paid back duly,others,6579,unknown/no savings account,0,0,male : divorced/separated,none,2,real estate,29,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2649,1,18,critical account/other credits elsewhere,car (used),2515,unknown/no savings account,2,1,male : married/widowed,none,0,unknown / no property,44,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2650,1,18,critical account/other credits elsewhere,car (used),2515,500 <= ... < 1000 DM,2,1,male : married/widowed,none,0,real estate,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2651,1,18,critical account/other credits elsewhere,car (used),2515,unknown/no savings account,2,1,female : non-single or male : single,none,0,unknown / no property,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2652,1,18,delay in paying off in the past,car (used),2462,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,56,none,rent,1,skilled employee/official,0 to 2,no,no,1
2653,1,18,no credits taken/all credits paid back duly,business,2462,unknown/no savings account,2,2,male : married/widowed,none,2,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,no,1
2654,1,18,no credits taken/all credits paid back duly,car (used),1585,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,22,stores,rent,1,skilled employee/official,0 to 2,no,no,1
2655,0,24,critical account/other credits elsewhere,domestic appliances,6842,500 <= ... < 1000 DM,2,2,male : married/widowed,none,0,car or other,46,none,rent,3-Feb,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
2656,2,24,critical account/other credits elsewhere,domestic appliances,6842,... >= 1000 DM,2,2,male : married/widowed,none,0,car or other,46,none,rent,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
2657,0,24,critical account/other credits elsewhere,retraining,6842,unknown/no savings account,2,2,male : married/widowed,none,0,car or other,46,bank,rent,3-Feb,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
2658,2,54,no credits taken/all credits paid back duly,repairs,2284,unknown/no savings account,3,0,male : married/widowed,none,2,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2659,2,72,no credits taken/all credits paid back duly,furniture/equipment,2284,unknown/no savings account,3,0,male : married/widowed,none,2,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2660,1,60,no credits taken/all credits paid back duly,furniture/equipment,2284,unknown/no savings account,3,0,male : married/widowed,none,2,building soc. savings agr./life insurance,28,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2661,2,60,no credits taken/all credits paid back duly,furniture/equipment,2118,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,55,none,rent,1,unskilled - resident,3 or more,no,no,0
2662,2,36,no credits taken/all credits paid back duly,retraining,2118,unknown/no savings account,2,2,male : married/widowed,none,2,real estate,37,bank,rent,1,unskilled - resident,3 or more,no,no,0
2663,2,30,no credits taken/all credits paid back duly,business,2118,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,37,none,rent,1,unskilled - resident,3 or more,no,no,0
2664,2,48,delay in paying off in the past,retraining,12204,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2665,2,48,delay in paying off in the past,retraining,12204,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2666,2,48,all credits at this bank paid back duly,retraining,12204,unknown/no savings account,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
2667,2,36,no credits taken/all credits paid back duly,repairs,1038,unknown/no savings account,2,2,female : single,none,2,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
2668,2,36,no credits taken/all credits paid back duly,repairs,3711,... <  100 DM,2,0,female : single,none,2,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
2669,2,36,no credits taken/all credits paid back duly,repairs,3711,unknown/no savings account,2,2,female : single,none,2,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
2670,1,47,all credits at this bank paid back duly,others,3676,unknown/no savings account,2,3,male : divorced/separated,none,1,unknown / no property,45,none,for free,5-Apr,skilled employee/official,3 or more,no,no,0
2671,1,39,all credits at this bank paid back duly,others,1572,unknown/no savings account,2,3,male : married/widowed,none,1,unknown / no property,37,bank,for free,5-Apr,skilled employee/official,3 or more,no,no,0
2672,1,39,all credits at this bank paid back duly,repairs,3676,unknown/no savings account,2,3,male : divorced/separated,none,2,unknown / no property,37,none,for free,5-Apr,skilled employee/official,3 or more,no,no,0
2673,1,42,existing credits paid back duly till now,radio/television,343,unknown/no savings account,1,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
2674,1,6,no credits taken/all credits paid back duly,radio/television,343,unknown/no savings account,0,0,female : non-single or male : single,none,3,car or other,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
2675,1,48,no credits taken/all credits paid back duly,radio/television,343,unknown/no savings account,1,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
2676,3,60,no credits taken/all credits paid back duly,furniture/equipment,1963,unknown/no savings account,0,0,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,for free,3-Feb,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
2677,2,60,delay in paying off in the past,furniture/equipment,1963,unknown/no savings account,3,0,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,for free,3-Feb,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
2678,3,45,no credits taken/all credits paid back duly,furniture/equipment,1963,unknown/no savings account,3,0,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,rent,3-Feb,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
2679,0,24,delay in paying off in the past,furniture/equipment,1216,... <  100 DM,1,0,male : married/widowed,none,0,real estate,38,bank,rent,3-Feb,skilled employee/official,3 or more,no,no,1
2680,0,24,all credits at this bank paid back duly,furniture/equipment,1216,... <  100 DM,1,0,male : married/widowed,none,0,real estate,38,bank,rent,3-Feb,unskilled - resident,3 or more,no,no,1
2681,2,24,all credits at this bank paid back duly,furniture/equipment,1216,... <  100 DM,4,0,male : married/widowed,none,0,real estate,38,none,rent,3-Feb,skilled employee/official,3 or more,no,no,1
2682,2,10,all credits at this bank paid back duly,car (used),2069,... >= 1000 DM,2,2,female : single,co-applicant,3,building soc. savings agr./life insurance,19,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),yes,0
2683,1,47,all credits at this bank paid back duly,retraining,2069,100 <= ... <  500 DM,2,2,female : single,guarantor,3,building soc. savings agr./life insurance,26,stores,for free,3-Feb,skilled employee/official,0 to 2,no,yes,0
2684,1,60,all credits at this bank paid back duly,repairs,2069,unknown/no savings account,2,2,female : single,none,3,building soc. savings agr./life insurance,26,none,rent,3-Feb,skilled employee/official,0 to 2,no,yes,0
2685,0,48,no credits taken/all credits paid back duly,furniture/equipment,6758,unknown/no savings account,2,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,60,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
2686,1,7,no credits taken/all credits paid back duly,furniture/equipment,6758,unknown/no savings account,2,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,31,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,1
2687,1,11,no credits taken/all credits paid back duly,furniture/equipment,6758,unknown/no savings account,2,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
2688,0,36,no credits taken/all credits paid back duly,domestic appliances,2278,unknown/no savings account,1,0,male : married/widowed,none,3,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,1
2689,2,6,no credits taken/all credits paid back duly,domestic appliances,2384,unknown/no savings account,4,0,male : married/widowed,none,3,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,1
2690,2,9,no credits taken/all credits paid back duly,domestic appliances,2384,unknown/no savings account,1,3,male : married/widowed,none,3,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,1
2691,1,36,all credits at this bank paid back duly,car (used),2348,unknown/no savings account,2,1,female : single,none,2,car or other,25,none,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2692,1,36,all credits at this bank paid back duly,car (used),2348,unknown/no savings account,2,1,female : single,none,2,car or other,21,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2693,1,36,critical account/other credits elsewhere,car (used),2348,unknown/no savings account,2,1,female : single,none,2,car or other,46,none,for free,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2694,0,72,all credits at this bank paid back duly,others,682,... <  100 DM,2,0,female : non-single or male : single,none,1,building soc. savings agr./life insurance,19,stores,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2695,2,45,all credits at this bank paid back duly,others,682,... <  100 DM,3,0,female : non-single or male : single,none,1,building soc. savings agr./life insurance,27,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,0
2696,1,12,critical account/other credits elsewhere,others,682,... <  100 DM,3,0,female : non-single or male : single,none,1,building soc. savings agr./life insurance,51,none,for free,3-Feb,unskilled - resident,3 or more,yes (under customer name),no,0
2697,2,30,all credits at this bank paid back duly,car (used),8386,... >= 1000 DM,3,2,male : married/widowed,none,2,car or other,49,none,rent,1,skilled employee/official,0 to 2,no,no,1
2698,2,30,all credits at this bank paid back duly,car (used),1360,unknown/no savings account,3,2,male : married/widowed,none,2,car or other,49,none,rent,1,skilled employee/official,0 to 2,no,no,1
2699,2,30,all credits at this bank paid back duly,car (used),3757,unknown/no savings account,3,2,male : married/widowed,none,2,car or other,49,none,rent,1,skilled employee/official,0 to 2,no,no,0
2700,1,48,all credits at this bank paid back duly,furniture/equipment,1459,unknown/no savings account,2,0,female : non-single or male : single,none,2,real estate,43,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,0
2701,3,72,all credits at this bank paid back duly,domestic appliances,1459,unknown/no savings account,2,0,female : non-single or male : single,none,2,building soc. savings agr./life insurance,43,none,rent,5-Apr,unskilled - resident,0 to 2,no,no,0
2702,2,15,delay in paying off in the past,radio/television,1459,unknown/no savings account,2,0,female : non-single or male : single,none,2,building soc. savings agr./life insurance,19,none,rent,1,unskilled - resident,0 to 2,no,no,0
2703,2,36,no credits taken/all credits paid back duly,radio/television,790,100 <= ... <  500 DM,2,0,female : non-single or male : single,none,1,unknown / no property,66,none,rent,1,unskilled - resident,0 to 2,no,no,0
2704,2,36,no credits taken/all credits paid back duly,furniture/equipment,790,... <  100 DM,2,0,female : non-single or male : single,co-applicant,1,unknown / no property,66,none,rent,1,unskilled - resident,0 to 2,no,no,0
2705,2,60,no credits taken/all credits paid back duly,furniture/equipment,790,unknown/no savings account,2,0,female : non-single or male : single,co-applicant,1,unknown / no property,66,none,rent,1,unskilled - resident,0 to 2,no,no,0
2706,1,45,existing credits paid back duly till now,repairs,1835,unknown/no savings account,2,3,female : non-single or male : single,none,2,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2707,1,18,critical account/other credits elsewhere,repairs,999,... >= 1000 DM,2,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2708,1,47,existing credits paid back duly till now,repairs,8471,unknown/no savings account,2,3,female : single,none,2,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
2709,1,7,no credits taken/all credits paid back duly,furniture/equipment,2600,100 <= ... <  500 DM,2,0,male : married/widowed,none,0,real estate,65,none,own,3-Feb,skilled employee/official,0 to 2,no,no,1
2710,1,18,all credits at this bank paid back duly,furniture/equipment,2600,unknown/no savings account,2,0,male : married/widowed,none,0,real estate,65,none,own,3-Feb,unemployed/unskilled - non-resident,0 to 2,no,no,1
2711,0,18,no credits taken/all credits paid back duly,furniture/equipment,2600,unknown/no savings account,2,0,male : married/widowed,none,0,real estate,65,none,own,1,skilled employee/official,0 to 2,no,no,1
2712,1,15,no credits taken/all credits paid back duly,others,3029,unknown/no savings account,3,0,male : married/widowed,co-applicant,2,building soc. savings agr./life insurance,33,none,rent,>= 6,skilled employee/official,0 to 2,no,no,0
2713,1,47,no credits taken/all credits paid back duly,retraining,3029,unknown/no savings account,3,2,male : married/widowed,none,2,building soc. savings agr./life insurance,33,none,for free,3-Feb,skilled employee/official,0 to 2,no,yes,0
